A1	116.68	74.93	0.00	SMA-EDGE-0.062	CONSMA003.062
C1	57.15	71.88	0.00	4,7u/50V	C1206
C10	62.23	73.91	0.00	100n/50V	C0603
C11	62.93	71.88	180.00	4,7u/6V	SMC_A
C12	61.85	76.84	90.00	0,47p/50V	C0603
C13	81.28	77.47	270.00	100n/50V	C0603
C14	75.18	75.44	270.00	100n/50V	C0603
C15	83.31	73.41	270.00	4,7u/6V	SMC_A
C16	74.42	77.98	0.00	4,7u/6V	SMC_A
C17	77.22	72.39	270.00	100n/50V	C0603
C18	81.28	73.41	90.00	4,7u/6V	SMC_A
C2	86.61	74.42	270.00	1n/100V	C0603
C3	88.65	73.41	90.00	4,7u/50V	C1206
C4	94.23	72.39	270.00	100n/50V	C0603
C5	94.23	76.45	90.00	47u/6V	SMC_B
C6	88.65	77.47	270.00	100n/50V	C0603
C7	91.19	76.45	90.00	47u/6V	SMC_B
C8	69.22	73.91	0.00	4,7u/6V	SMC_A
C9	68.45	77.98	180.00	100n/50V	C0603
D1	-0.76	74.93	90.00	VBPW34S	SOD6439X130N
D10	19.56	74.93	90.00	TEMD5010X01	DIODE_TEMD5010
D11	24.64	74.93	90.00	VBPW34S	SOD6439X130N
D12	24.64	74.93	90.00	TEMD5010X01	DIODE_TEMD5010
D13	29.72	74.93	90.00	VBPW34S	SOD6439X130N
D14	29.72	74.93	90.00	TEMD5010X01	DIODE_TEMD5010
D15	34.80	74.93	90.00	VBPW34S	SOD6439X130N
D16	34.80	74.93	90.00	TEMD5010X01	DIODE_TEMD5010
D17	39.88	74.93	90.00	VBPW34S	SOD6439X130N
D18	39.88	74.93	90.00	TEMD5010X01	DIODE_TEMD5010
D19	44.96	74.93	90.00	VBPW34S	SOD6439X130N
D2	-0.76	74.93	90.00	TEMD5010X01	DIODE_TEMD5010
D20	44.96	74.93	90.00	TEMD5010X01	DIODE_TEMD5010
D3	4.32	74.93	90.00	VBPW34S	SOD6439X130N
D4	4.32	74.93	90.00	TEMD5010X01	DIODE_TEMD5010
D5	9.40	74.93	90.00	VBPW34S	SOD6439X130N
D6	9.40	74.93	90.00	TEMD5010X01	DIODE_TEMD5010
D7	14.48	74.93	90.00	VBPW34S	SOD6439X130N
D8	14.48	74.93	90.00	TEMD5010X01	DIODE_TEMD5010
D9	19.56	74.93	90.00	VBPW34S	SOD6439X130N
IC1	64.90	76.84	90.00	LTC6268	TSOT23-6
IC2	78.23	75.44	270.00	LTC6228	TSOT23-6
LED1	84.96	74.42	0.00	GREEN	CHIPLED_0603
LED2	90.55	72.39	0.00	GREEN	CHIPLED_0603
LED3	84.96	77.47	0.00	GREEN	CHIPLED_0603
R1	59.18	73.91	180.00	4,7k	R0603
R10	83.31	77.47	270.00	1	R0603
R11	73.15	75.44	270.00	1	R0603
R12	75.18	72.39	270.00	100	R0603
R13	73.15	72.39	90.00	92	R0603
R14	79.25	72.39	90.00	100	R0603
R15	68.45	75.95	180.00	100	R0603
R16	70.99	77.47	90.00	1k	R0603
R17	78.23	77.98	180.00	1k	R0603
R2	56.13	73.91	0.00	4,7k	R0603
R3	86.11	71.88	0.00	43k	R0603
R4	92.20	72.39	270.00	300	R0603
R5	86.61	77.47	90.00	300	R0603
R6	70.61	71.88	0.00	1k	R0603
R7	67.56	71.88	0.00	1k	R0603
R8	59.82	76.84	90.00	22-47M	R0603
R9	65.28	73.91	180.00	1	R0603
T1	57.02	76.84	0.00	CPH3910	SOT23
X1	106.13	74.91	0.00	87437-0443	87437-0443
